"DestAirportID.x","name.x","airport_id","state.x","city.x","id","type","latitude_deg","longitude_deg","iso_country","iso_region","municipality","ave_departure_delay","name.y","state.y","city.y","OriginAirportID.y","DestAirportID.y.x","ave_arrival_delay.x","name.x.1","state.x.1","city.x.1","OriginAirportID.y.1","DestAirportID.y.y","ave_arrival_delay.y","name.y.1","state.y.1","city.y.1","OriginAirportID","DestAirportID.y"
11433,"Detroit Metro Wayne County",11433,"MI","Detroit",NA,NA,42.2124,-83.3534,NA,NA,NA,9.30627543715715,"Detroit Metro Wayne County","MI","Detroit",11433,11433,3.88985437283772,"Detroit Metro Wayne County","MI","Detroit",11433,11433,3.88985437283772,"Detroit Metro Wayne County","MI","Detroit",11433,11433
11618,"Newark Liberty International",11618,"NJ","Newark",3521,"large_airport",40.692501,-74.168701,"US","US-NJ","Newark",14.7823523833607,"Newark Liberty International","NJ","Newark",11618,11618,12.3119868898364,"Newark Liberty International","NJ","Newark",11618,11618,12.3119868898364,"Newark Liberty International","NJ","Newark",11618,11618
11697,"Fort Lauderdale-Hollywood International",11697,"FL","Fort Lauderdale",NA,NA,26.0726,-80.1527,NA,NA,NA,11.2012046464936,"Fort Lauderdale-Hollywood International","FL","Fort Lauderdale",11697,11697,6.70313800924464,"Fort Lauderdale-Hollywood International","FL","Fort Lauderdale",11697,11697,6.70313800924464,"Fort Lauderdale-Hollywood International","FL","Fort Lauderdale",11697,11697
12173,"Honolulu International",12173,"HI","Honolulu",NA,NA,21.32062,-157.9242,"US",NA,NA,5.3317959230156,"Honolulu International","HI","Honolulu",12173,12173,5.31893121091529,"Honolulu International","HI","Honolulu",12173,12173,5.31893121091529,"Honolulu International","HI","Honolulu",12173,12173
12191,"William P Hobby",12191,"TX","Houston",3588,"medium_airport",29.645399,-95.2789,"US","US-TX","Houston",13.1148167268973,"William P Hobby","TX","Houston",12191,12191,7.46078803130063,"William P Hobby","TX","Houston",12191,12191,7.46078803130063,"William P Hobby","TX","Houston",12191,12191
12264,"Washington Dulles International",12264,"DC","Washington",3602,"large_airport",38.9445,-77.455803,"US","US-VA","Dulles",13.1597890751758,"Washington Dulles International","DC","Washington",12264,12264,7.02787128046317,"Washington Dulles International","DC","Washington",12264,12264,7.02787128046317,"Washington Dulles International","DC","Washington",12264,12264
12266,"George Bush Intercontinental/Houston",12266,"TX","Houston",NA,NA,29.9844,-95.3414,"US",NA,NA,11.2134552062412,"George Bush Intercontinental/Houston","TX","Houston",12266,12266,4.26226211161429,"George Bush Intercontinental/Houston","TX","Houston",12266,12266,4.26226211161429,"George Bush Intercontinental/Houston","TX","Houston",12266,12266
12339,"Indianapolis International",12339,"IN","Indianapolis",3610,"large_airport",39.7173,-86.294403,"US","US-IN","Indianapolis",7.6261384589596,"Indianapolis International","IN","Indianapolis",12339,12339,6.90051219240619,"Indianapolis International","IN","Indianapolis",12339,12339,6.90051219240619,"Indianapolis International","IN","Indianapolis",12339,12339
12451,"Jacksonville International",12451,"FL","Jacksonville",3620,"large_airport",30.49410057,-81.68789673,"US","US-FL","Jacksonville",8.02962962962963,"Jacksonville International","FL","Jacksonville",12451,12451,7.44399589462881,"Jacksonville International","FL","Jacksonville",12451,12451,7.44399589462881,"Jacksonville International","FL","Jacksonville",12451,12451
12478,"John F. Kennedy International",12478,"NY","New York",NA,NA,40.63945,-73.77932,"US",NA,NA,13.7065476390241,"John F. Kennedy International","NY","New York",12478,12478,10.5788017969693,"John F. Kennedy International","NY","New York",12478,12478,10.5788017969693,"John F. Kennedy International","NY","New York",12478,12478
12889,"McCarran International",12889,"NV","Las Vegas",NA,NA,36.0831,-115.1482,NA,NA,NA,11.858188483823,"McCarran International","NV","Las Vegas",12889,12889,5.06815766901796,"McCarran International","NV","Las Vegas",12889,12889,5.06815766901796,"McCarran International","NV","Las Vegas",12889,12889
12892,"Los Angeles International",12892,"CA","Los Angeles",3632,"large_airport",33.942501,-118.407997,"US","US-CA","Los Angeles",9.54435387809277,"Los Angeles International","CA","Los Angeles",12892,12892,5.44723758781009,"Los Angeles International","CA","Los Angeles",12892,12892,5.44723758781009,"Los Angeles International","CA","Los Angeles",12892,12892
12953,"LaGuardia",12953,"NY","New York",NA,NA,40.7733,-73.8718,NA,NA,NA,11.3488664318709,"LaGuardia","NY","New York",12953,12953,11.2911693231363,"LaGuardia","NY","New York",12953,12953,11.2911693231363,"LaGuardia","NY","New York",12953,12953
12954,"Long Beach",12954,"CA","Long Beach",NA,NA,33.81652,-118.1499,NA,NA,NA,3.61800785083415,"Long Beach Airport","CA","Long Beach",12954,12954,1.3592256799804,"Long Beach Airport","CA","Long Beach",12954,12954,1.3592256799804,"Long Beach Airport","CA","Long Beach",12954,12954
13198,"Kansas City International",13198,"MO","Kansas City",3668,"large_airport",39.2976,-94.713898,"US","US-MO","Kansas City",8.81227971935835,"Kansas City International","MO","Kansas City",13198,13198,7.99582360485383,"Kansas City International","MO","Kansas City",13198,13198,7.99582360485383,"Kansas City International","MO","Kansas City",13198,13198
13204,"Orlando International",13204,"FL","Orlando",3670,"large_airport",28.42939949,-81.30899811,"US","US-FL","Orlando",10.8333728251303,"Orlando International","FL","Orlando",13204,13204,5.52304883614788,"Orlando International","FL","Orlando",13204,13204,5.52304883614788,"Orlando International","FL","Orlando",13204,13204
13232,"Chicago Midway International",13232,"IL","Chicago",3673,"large_airport",41.785999,-87.752403,"US","US-IL","Chicago",16.1419118682247,"Chicago Midway International","IL","Chicago",13232,13232,7.59457442517144,"Chicago Midway International","IL","Chicago",13232,13232,7.59457442517144,"Chicago Midway International","IL","Chicago",13232,13232
13244,"Memphis International",13244,"TN","Memphis",3675,"large_airport",35.04240036,-89.97669983,"US","US-TN","Memphis",8.28903997824313,"Memphis International","TN","Memphis",13244,13244,4.36236687676592,"Memphis International","TN","Memphis",13244,13244,4.36236687676592,"Memphis International","TN","Memphis",13244,13244
13303,"Miami International",13303,"FL","Miami",3685,"large_airport",25.79319954,-80.29060364,"US","US-FL","Miami",10.0707939305876,"Miami International","FL","Miami",13303,13303,3.53889961159959,"Miami International","FL","Miami",13303,13303,3.53889961159959,"Miami International","FL","Miami",13303,13303
13342,"General Mitchell International",13342,"WI","Milwaukee",3690,"large_airport",42.94720078,-87.89659882,"US","US-WI","Milwaukee",9.20585126825519,"General Mitchell International","WI","Milwaukee",13342,13342,7.44796011314061,"General Mitchell International","WI","Milwaukee",13342,13342,7.44796011314061,"General Mitchell International","WI","Milwaukee",13342,13342
13487,"Minneapolis-St Paul International",13487,"MN","Minneapolis",NA,NA,44.882,-93.2218,NA,NA,NA,7.41945374860438,"Minneapolis-St Paul International","MN","Minneapolis",13487,13487,2.86971719097553,"Minneapolis-St Paul International","MN","Minneapolis",13487,13487,2.86971719097553,"Minneapolis-St Paul International","MN","Minneapolis",13487,13487
13495,"Louis Armstrong New Orleans International",13495,"LA","New Orleans",3711,"large_airport",29.99340057,-90.25800323,"US","US-LA","New Orleans",8.08012400143079,"Louis Armstrong New Orleans International","LA","New Orleans",13495,13495,5.60971544231456,"Louis Armstrong New Orleans International","LA","New Orleans",13495,13495,5.60971544231456,"Louis Armstrong New Orleans International","LA","New Orleans",13495,13495
13796,"Metropolitan Oakland International",13796,"CA","Oakland",3744,"large_airport",37.721298,-122.221001,"US","US-CA","Oakland",8.26701591459301,"Metropolitan Oakland International","CA","Oakland",13796,13796,5.06140350877193,"Metropolitan Oakland International","CA","Oakland",13796,13796,5.06140350877193,"Metropolitan Oakland International","CA","Oakland",13796,13796
13830,"Kahului",13830,"HI","Kahului",NA,NA,20.89854,-156.4312,NA,NA,NA,3.95706195587862,"Kahului Airport","HI","Kahului",13830,13830,4.05253807106599,"Kahului Airport","HI","Kahului",13830,13830,4.05253807106599,"Kahului Airport","HI","Kahului",13830,13830
13851,"Will Rogers World",13851,"OK","Oklahoma City",3747,"medium_airport",35.393101,-97.6007,"US","US-OK","Oklahoma City",9.64196007259528,"Will Rogers World","OK","Oklahoma City",13851,13851,10.5700581395349,"Will Rogers World","OK","Oklahoma City",13851,13851,10.5700581395349,"Will Rogers World","OK","Oklahoma City",13851,13851
13871,"Eppley Airfield",13871,"NE","Omaha",3751,"large_airport",41.3032,-95.894096,"US","US-NE","Omaha",7.64728769173214,"Eppley Airfield","NE","Omaha",13871,13871,9.05903838986209,"Eppley Airfield","NE","Omaha",13871,13871,9.05903838986209,"Eppley Airfield","NE","Omaha",13871,13871
13891,"Ontario International",13891,"CA","Ontario",3752,"large_airport",34.05599976,-117.6009979,"US","US-CA","Ontario",7.10325867227298,"Ontario International","CA","Ontario",13891,13891,6.62363768466941,"Ontario International","CA","Ontario",13891,13891,6.62363768466941,"Ontario International","CA","Ontario",13891,13891
13930,"Chicago O'Hare International",13930,"IL","Chicago",3754,"large_airport",41.9786,-87.9048,"US","US-IL","Chicago",15.926826150183,"Chicago O'Hare International","IL","Chicago",13930,13930,9.88296798384771,"Chicago O'Hare International","IL","Chicago",13930,13930,9.88296798384771,"Chicago O'Hare International","IL","Chicago",13930,13930
13931,"Norfolk International",13931,"VA","Norfolk",3755,"medium_airport",36.8946,-76.201202,"US","US-VA","Norfolk",10.37325369508,"Norfolk International","VA","Norfolk",13931,13931,9.53030303030303,"Norfolk International","VA","Norfolk",13931,13931,9.53030303030303,"Norfolk International","VA","Norfolk",13931,13931
14027,"Palm Beach International",14027,"FL","West Palm Beach/Palm Beach",3766,"large_airport",26.68320084,-80.09559631,"US","US-FL","West Palm Beach",11.5088206144698,"Palm Beach International","FL","West Palm Beach/Palm Beach",14027,14027,6.99128799128799,"Palm Beach International","FL","West Palm Beach/Palm Beach",14027,14027,6.99128799128799,"Palm Beach International","FL","West Palm Beach/Palm Beach",14027,14027
14057,"Portland International",14057,"OR","Portland",3768,"large_airport",45.58869934,-122.5979996,"US","US-OR","Portland",5.87706530291109,"Portland International","OR","Portland",14057,14057,3.94261034584301,"Portland International","OR","Portland",14057,14057,3.94261034584301,"Portland International","OR","Portland",14057,14057
14100,"Philadelphia International",14100,"PA","Philadelphia",3771,"large_airport",39.87189865,-75.2410965,"US","US-PA","Philadelphia",10.5798622151563,"Philadelphia International","PA","Philadelphia",14100,14100,8.5221066043746,"Philadelphia International","PA","Philadelphia",14100,14100,8.5221066043746,"Philadelphia International","PA","Philadelphia",14100,14100
14107,"Phoenix Sky Harbor International",14107,"AZ","Phoenix",3772,"large_airport",33.435302,-112.005905,"US","US-AZ","Phoenix",8.18205190989226,"Phoenix Sky Harbor International","AZ","Phoenix",14107,14107,3.20900898891442,"Phoenix Sky Harbor International","AZ","Phoenix",14107,14107,3.20900898891442,"Phoenix Sky Harbor International","AZ","Phoenix",14107,14107
14122,"Pittsburgh International",14122,"PA","Pittsburgh",3778,"large_airport",40.49150085,-80.23290253,"US","US-PA","Pittsburgh",7.38293485198095,"Pittsburgh International","PA","Pittsburgh",14122,14122,6.82893642014586,"Pittsburgh International","PA","Pittsburgh",14122,14122,6.82893642014586,"Pittsburgh International","PA","Pittsburgh",14122,14122
14307,"Theodore Francis Green State",14307,"RI","Providence",3795,"large_airport",41.725038,-71.425668,"US","US-RI","Warwick",7.24257479209418,"Theodore Francis Green State","RI","Providence",14307,14307,8.90669393026259,"Theodore Francis Green State","RI","Providence",14307,14307,8.90669393026259,"Theodore Francis Green State","RI","Providence",14307,14307
14492,"Raleigh-Durham International",14492,"NC","Raleigh/Durham",NA,NA,35.8776,-78.7875,NA,NA,NA,9.35368293205687,"Raleigh-Durham International","NC","Raleigh/Durham",14492,14492,6.55594443055605,"Raleigh-Durham International","NC","Raleigh/Durham",14492,14492,6.55594443055605,"Raleigh-Durham International","NC","Raleigh/Durham",14492,14492
14524,"Richmond International",14524,"VA","Richmond",3847,"large_airport",37.50519943,-77.31970215,"US","US-VA","Richmond",8.94605297896682,"Richmond International","VA","Richmond",14524,14524,9.51102521303699,"Richmond International","VA","Richmond",14524,14524,9.51102521303699,"Richmond International","VA","Richmond",14524,14524
14570,"Reno/Tahoe International",14570,"NV","Reno",NA,NA,39.4991,-119.768,NA,NA,NA,9.10302384182981,"Reno/Tahoe International","NV","Reno",14570,14570,6.58456628952712,"Reno/Tahoe International","NV","Reno",14570,14570,6.58456628952712,"Reno/Tahoe International","NV","Reno",14570,14570
14635,"Southwest Florida International",14635,"FL","Fort Myers",3858,"large_airport",26.53619957,-81.75520325,"US","US-FL","Fort Myers",7.17018205148769,"Southwest Florida International","FL","Fort Myers",14635,14635,4.03763440860215,"Southwest Florida International","FL","Fort Myers",14635,14635,4.03763440860215,"Southwest Florida International","FL","Fort Myers",14635,14635
14679,"San Diego International",14679,"CA","San Diego",3862,"large_airport",32.73360062,-117.1900024,"US","US-CA","San Diego",8.42151971389465,"San Diego International","CA","San Diego",14679,14679,5.68689898544332,"San Diego International","CA","San Diego",14679,14679,5.68689898544332,"San Diego International","CA","San Diego",14679,14679
14683,"San Antonio International",14683,"TX","San Antonio",3863,"large_airport",29.533701,-98.469803,"US","US-TX","San Antonio",7.89831026503078,"San Antonio International","TX","San Antonio",14683,14683,8.42621308476348,"San Antonio International","TX","San Antonio",14683,14683,8.42621308476348,"San Antonio International","TX","San Antonio",14683,14683
14730,"Louisville International-Standiford Field",14730,"KY","Louisville",NA,NA,38.1744,-85.736,NA,NA,NA,11.2325538404658,"Louisville International-Standiford Field","KY","Louisville",14730,14730,8.81196502531063,"Louisville International-Standiford Field","KY","Louisville",14730,14730,8.81196502531063,"Louisville International-Standiford Field","KY","Louisville",14730,14730
14747,"Seattle/Tacoma International",14747,"WA","Seattle",NA,NA,47.44916,-122.3111,NA,NA,NA,6.66330825572532,"Seattle/Tacoma International","WA","Seattle",14747,14747,2.14574918890287,"Seattle/Tacoma International","WA","Seattle",14747,14747,2.14574918890287,"Seattle/Tacoma International","WA","Seattle",14747,14747
14771,"San Francisco International",14771,"CA","San Francisco",3878,"large_airport",37.61899948,-122.375,"US","US-CA","San Francisco",13.6595777932726,"San Francisco International","CA","San Francisco",14771,14771,13.4378709646287,"San Francisco International","CA","San Francisco",14771,14771,13.4378709646287,"San Francisco International","CA","San Francisco",14771,14771
14831,"Norman Y. Mineta San Jose International",14831,"CA","San Jose",3883,"large_airport",37.362452,-121.929188,"US","US-CA","San Jose",6.95660416237379,"Norman Y. Mineta San Jose International","CA","San Jose",14831,14831,4.98773713015925,"Norman Y. Mineta San Jose International","CA","San Jose",14831,14831,4.98773713015925,"Norman Y. Mineta San Jose International","CA","San Jose",14831,14831
14843,"Luis Munoz Marin International",14843,"PR","San Juan",6384,"large_airport",18.43939972,-66.00180054,"PR","PR-U-A","San Juan",9.96372832369942,"Luis Munoz Marin International","PR","San Juan",14843,14843,7.08521575441645,"Luis Munoz Marin International","PR","San Juan",14843,14843,7.08521575441645,"Luis Munoz Marin International","PR","San Juan",14843,14843
14869,"Salt Lake City International",14869,"UT","Salt Lake City",3887,"large_airport",40.785749,-111.979746,"US","US-UT","Salt Lake City",5.33239115761053,"Salt Lake City International","UT","Salt Lake City",14869,14869,2.47450442851118,"Salt Lake City International","UT","Salt Lake City",14869,14869,2.47450442851118,"Salt Lake City International","UT","Salt Lake City",14869,14869
14893,"Sacramento International",14893,"CA","Sacramento",3892,"large_airport",38.69540024,-121.5910034,"US","US-CA","Sacramento",7.67257062712883,"Sacramento International","CA","Sacramento",14893,14893,5.74872,"Sacramento International","CA","Sacramento",14893,14893,5.74872,"Sacramento International","CA","Sacramento",14893,14893
14908,"John Wayne -Orange County",14908,"CA","Santa Ana",NA,NA,33.6757,-117.868,"US",NA,NA,7.46683695189442,"John Wayne Airport-Orange County","CA","Santa Ana",14908,14908,1.76090283091048,"John Wayne Airport-Orange County","CA","Santa Ana",14908,14908,1.76090283091048,"John Wayne Airport-Orange County","CA","Santa Ana",14908,14908
15016,"Lambert-St. Louis International",15016,"MO","St. Louis",NA,NA,38.7487,-90.37,NA,NA,NA,11.3797776022361,"Lambert-St. Louis International","MO","St. Louis",15016,15016,6.59016094746432,"Lambert-St. Louis International","MO","St. Louis",15016,15016,6.59016094746432,"Lambert-St. Louis International","MO","St. Louis",15016,15016
15304,"Tampa International",15304,"FL","Tampa",3926,"large_airport",27.97550011,-82.53320313,"US","US-FL","Tampa",8.767628250675,"Tampa International","FL","Tampa",15304,15304,5.69127802881746,"Tampa International","FL","Tampa",15304,15304,5.69127802881746,"Tampa International","FL","Tampa",15304,15304
15376,"Tucson International",15376,"AZ","Tucson",NA,NA,32.115,-110.9381,NA,NA,NA,4.72258182149695,"Tucson International","AZ","Tucson",15376,15376,7.21957647914205,"Tucson International","AZ","Tucson",15376,15376,7.21957647914205,"Tucson International","AZ","Tucson",15376,15376
